UserID,UserName,Age,Gender,Email,Total_Courses_Enrolled,Enrollment_Frequency_Days,Preferred_Category,Preferred_Level,Avg_Spending_Per_Learner,Diversity_Score,Learning_Depth_Index,Assigned_Segment
U00038,williamselizabeth,35,Male,kpham@gmail.com,1,0.0,Cybersecurity,Intermediate,0.0,1,0.0,3
U00039,blackdanielle,16,Female,michaelfrederick@yahoo.com,1,0.0,Project Management,Advanced,346.71,1,0.0,0
U00040,briannamurphy,15,Male,ohobbs@gmail.com,1,0.0,Programming,Beginner,0.0,1,1.0,2
U00041,april65,19,Female,imccarthy@yahoo.com,2,13.0,Business,Beginner,163.01,2,0.5,2
U00042,christopher62,32,Male,patrickterrance@outlook.com,1,0.0,Artificial Intelligence,Intermediate,89.59,1,0.0,3
U00043,tommy21,31,Male,gordonhenry@hotmail.com,1,0.0,Project Management,Beginner,327.99,1,1.0,2
U00044,rileyapril,19,Male,wagnermichael@hotmail.com,1,0.0,Data Science,Beginner,299.57,1,1.0,2
U00045,rodneystevens,23,Female,mitchellwilliam@yahoo.com,14,25.76923076923077,Project Management,Beginner,86.41357142857143,9,0.42857142857142855,1
U00046,usimpson,29,Female,hmarquez@hotmail.com,2,187.0,Design,Advanced,0.0,2,0.5,0
U00047,westbrian,34,Male,lclark@outlook.com,1,0.0,Data Science,Intermediate,0.0,1,0.0,3
U00048,willie71,19,Male,zgarza@hotmail.com,13,25.5,Design,Beginner,27.45307692307692,9,0.46153846153846156,1
U00049,nclark,32,Male,thomaskenneth@gmail.com,1,0.0,Project Management,Intermediate,0.0,1,0.0,3
U00050,rewing,33,Male,syoung@gmail.com,1,0.0,Design,Advanced,0.0,1,0.0,0
U00051,crystal12,32,Female,bonnie35@gmail.com,1,0.0,Design,Beginner,0.0,1,1.0,2
U00052,daniel48,25,Female,tweber@gmail.com,1,0.0,Machine Learning,Advanced,0.78,1,0.0,0
U00053,tara07,34,Female,bergertimothy@hotmail.com,1,0.0,Finance,Beginner,53.86,1,1.0,2
U00054,jessicaparker,22,Female,rosslindsey@hotmail.com,1,0.0,Artificial Intelligence,Beginner,490.9,1,1.0,2
U00055,hallandrea,31,Female,michelle73@gmail.com,16,22.733333333333334,Design,Advanced,90.51562499999999,9,0.1875,1
U00056,vcrawford,22,Female,markfinley@gmail.com,2,62.0,Design,Advanced,0.0,2,0.5,0
U00057,thomasrobin,18,Male,cedwards@yahoo.com,1,0.0,Business,Advanced,487.92,1,0.0,0
U00058,egomez,30,Female,jimmymurphy@outlook.com,1,0.0,Data Science,Advanced,117.68,1,0.0,0
U00059,elizabeth16,32,Male,andersonmadison@gmail.com,1,0.0,Design,Beginner,0.0,1,1.0,2
U00060,albert28,26,Male,stephanie43@yahoo.com,4,36.666666666666664,Finance,Beginner,13.465,3,0.75,2
U00061,vincent12,32,Female,yscott@outlook.com,1,0.0,Cybersecurity,Intermediate,0.0,1,0.0,3
U00062,howenathaniel,28,Female,tbrown@yahoo.com,1,0.0,Programming,Beginner,0.0,1,1.0,2
U00063,lisawong,34,Female,denise33@outlook.com,2,12.0,Data Science,Beginner,149.785,2,1.0,2
U00064,donnabarker,33,Female,gellis@yahoo.com,1,0.0,Design,Advanced,276.37,1,0.0,0
U00065,michaelcurtis,29,Male,brownrobert@hotmail.com,1,0.0,Web Development,Advanced,0.0,1,0.0,0
U00066,wwest,26,Female,gomezkatherine@gmail.com,1,0.0,Project Management,Beginner,327.99,1,1.0,2
U00067,jessica24,28,Female,gardnerjohnny@hotmail.com,1,0.0,Finance,Intermediate,119.04,1,0.0,3
U00068,marshmichelle,32,Male,mcoleman@outlook.com,1,0.0,Project Management,Intermediate,0.0,1,0.0,3
U00069,gainesandrew,27,Female,woodashley@outlook.com,2,189.0,Design,Advanced,0.0,2,0.0,0
U00070,mgonzales,25,Female,vwang@gmail.com,2,154.0,Digital Marketing,Intermediate,0.0,2,0.0,3
U00071,kevin94,30,Female,gonzalezchristine@hotmail.com,14,23.153846153846153,Programming,Beginner,45.85285714285715,8,0.5,1
U00072,hallanthony,17,Female,sharon51@hotmail.com,1,0.0,Business,Intermediate,326.02,1,0.0,3
U00073,katie83,16,Male,lydia56@gmail.com,1,0.0,Machine Learning,Advanced,0.78,1,0.0,0
U00074,nunezapril,19,Male,hancocksteven@hotmail.com,3,81.0,Programming,Beginner,321.06,2,1.0,2
U00075,hfarley,22,Male,torresshawn@hotmail.com,1,0.0,Design,Advanced,0.0,1,0.0,0
U00076,justinwatkins,34,Male,amyanderson@hotmail.com,4,57.0,Business,Beginner,118.07,4,0.75,2
U00077,shannon49,20,Male,shane75@yahoo.com,1,0.0,Marketing,Intermediate,0.0,1,0.0,3
U00078,ahouston,32,Female,ashleywalker@outlook.com,1,0.0,Marketing,Intermediate,0.0,1,0.0,3
U00079,aburke,28,Male,stoutdylan@outlook.com,1,0.0,Cybersecurity,Beginner,0.0,1,1.0,2
U00080,mortonandrew,35,Female,cindycox@yahoo.com,1,0.0,Programming,Beginner,0.0,1,1.0,2
U00081,smithdanny,18,Female,martinrhonda@yahoo.com,1,0.0,Design,Advanced,0.0,1,0.0,0
U00082,susankidd,31,Male,jasonhicks@yahoo.com,1,0.0,Project Management,Beginner,0.0,1,1.0,2
U00083,james92,16,Male,kconrad@gmail.com,15,24.0,Artificial Intelligence,Intermediate,110.75333333333333,9,0.26666666666666666,1
U00084,xperez,20,Male,ericafrank@yahoo.com,1,0.0,Project Management,Beginner,327.99,1,1.0,2
U00085,scottluna,22,Female,adam86@yahoo.com,13,30.25,Cybersecurity,Beginner,88.39384615384614,7,0.5384615384615384,1
U00086,nicole62,27,Female,anewton@yahoo.com,4,53.666666666666664,Business,Advanced,13.465,4,0.25,0
U00087,sjoseph,19,Female,jacqueline74@yahoo.com,3,48.0,Machine Learning,Intermediate,0.0,3,0.3333333333333333,3
U00088,tgarcia,23,Male,debrawilson@yahoo.com,1,0.0,Artificial Intelligence,Beginner,0.0,1,1.0,2
U00089,austinspears,30,Male,browningjennifer@hotmail.com,1,0.0,Machine Learning,Intermediate,0.0,1,0.0,3
U00090,sethchavez,34,Male,teresa45@outlook.com,1,0.0,Project Management,Intermediate,0.0,1,0.0,3
U00091,joseph88,35,Male,owenspatricia@gmail.com,1,0.0,Finance,Beginner,0.0,1,1.0,2
U00092,carl44,31,Male,sabrina47@yahoo.com,4,29.333333333333332,Artificial Intelligence,Advanced,148.7025,4,0.5,0
U00093,sextonelizabeth,16,Male,thomas52@gmail.com,1,0.0,Business,Beginner,285.05,1,1.0,2
U00094,qtaylor,27,Male,vasquezdavid@yahoo.com,1,0.0,Data Science,Beginner,299.57,1,1.0,2
U00095,ojohnson,20,Male,chloe04@yahoo.com,1,0.0,Artificial Intelligence,Beginner,248.1,1,1.0,2
U00096,wesley99,34,Female,xdavis@hotmail.com,4,62.666666666666664,Machine Learning,Beginner,0.0,3,0.5,2
U00097,donnawilliams,25,Male,guzmanchristine@gmail.com,2,3.0,Cybersecurity,Advanced,0.0,2,0.0,0
U00098,sarah43,31,Male,natasha16@yahoo.com,1,0.0,Design,Advanced,0.0,1,0.0,0
U00099,wharrison,29,Female,robertsshawn@yahoo.com,1,0.0,Data Science,Beginner,299.57,1,1.0,2
U00100,swallace,32,Female,douglascampbell@outlook.com,1,0.0,Digital Marketing,Beginner,0.0,1,1.0,2
U00101,rosejames,15,Female,wilcoxrita@yahoo.com,1,0.0,Artificial Intelligence,Intermediate,89.59,1,0.0,3
U00102,vweiss,32,Male,cherylking@yahoo.com,1,0.0,Data Science,Beginner,299.57,1,1.0,2
U00103,felicia29,30,Female,ssims@hotmail.com,1,0.0,Business,Advanced,0.0,1,0.0,0
U00104,diazsara,19,Male,mosschad@yahoo.com,1,0.0,Finance,Beginner,53.86,1,1.0,2
U00105,smithjacqueline,27,Male,robinfranklin@outlook.com,1,0.0,Data Science,Beginner,299.57,1,1.0,2
U00106,sharonmurphy,19,Male,cathy60@yahoo.com,2,40.0,Digital Marketing,Advanced,28.66,2,0.5,0
U00107,hayley84,18,Female,wwood@hotmail.com,1,0.0,Programming,Beginner,0.0,1,1.0,2
U00108,jowen,32,Male,jasonjordan@yahoo.com,2,224.0,Design,Advanced,0.0,2,0.5,0
U00109,amyschmidt,15,Female,alicia06@yahoo.com,14,23.23076923076923,Data Science,Beginner,62.12642857142857,10,0.5714285714285714,1
U00110,thorntondaniel,26,Female,kellywilson@hotmail.com,1,0.0,Business,Advanced,487.92,1,0.0,0
U00111,cynthia90,24,Male,kayla61@outlook.com,1,0.0,Digital Marketing,Beginner,0.0,1,1.0,2
U00112,williamswilliam,34,Female,qmiller@yahoo.com,14,23.615384615384617,Data Science,Advanced,40.41428571428571,9,0.35714285714285715,1
U00113,becky55,19,Male,lclark@hotmail.com,1,0.0,Project Management,Advanced,346.71,1,0.0,0
U00114,lvasquez,22,Female,markwilliams@hotmail.com,1,0.0,Cybersecurity,Advanced,0.0,1,0.0,0
U00115,mitchellswanson,32,Female,danielmathews@hotmail.com,1,0.0,Machine Learning,Intermediate,0.0,1,0.0,3
U00116,schultzaustin,31,Male,psmith@outlook.com,1,0.0,Design,Advanced,0.0,1,0.0,0
U00117,kristin26,19,Female,megan10@gmail.com,13,21.666666666666668,Cybersecurity,Beginner,145.06692307692308,9,0.5384615384615384,1
U00118,morankevin,28,Female,marquezwilliam@hotmail.com,1,0.0,Business,Advanced,0.0,1,0.0,0
U00119,phillipsrobert,28,Male,wlee@yahoo.com,1,0.0,Web Development,Advanced,57.32,1,0.0,0
U00120,faguilar,15,Male,ashley54@gmail.com,2,34.0,Artificial Intelligence,Beginner,207.755,2,0.5,2
U00121,htanner,27,Female,donaldbrennan@hotmail.com,2,167.0,Machine Learning,Advanced,164.385,2,0.5,0
U00122,derekgreer,21,Female,elizabeth42@gmail.com,2,264.0,Digital Marketing,Beginner,0.0,2,0.5,2
U00123,richardsonjames,18,Female,dillonleslie@outlook.com,2,172.0,Data Science,Advanced,178.445,2,0.5,0
U00124,christinagilbert,19,Female,brendanaustin@yahoo.com,2,191.0,Artificial Intelligence,Advanced,230.245,2,0.5,0
U00125,michelle70,35,Female,simsbruce@yahoo.com,2,15.0,Business,Advanced,163.01,2,0.0,0
U00126,zhall,23,Female,juliecervantes@yahoo.com,14,26.307692307692307,Digital Marketing,Beginner,77.4692857142857,7,0.5,1
U00127,brian60,34,Female,annablair@hotmail.com,3,62.5,Artificial Intelligence,Advanced,301.1433333333334,3,0.0,0
U00128,misty15,35,Female,thomasharris@yahoo.com,13,28.416666666666668,Artificial Intelligence,Beginner,139.51153846153846,8,0.38461538461538464,1
U00129,sabrinawilson,19,Male,alvaradokevin@gmail.com,2,55.0,Artificial Intelligence,Intermediate,207.755,2,0.0,3
U00130,eherring,17,Male,joshua83@yahoo.com,1,0.0,Artificial Intelligence,Beginner,248.1,1,1.0,2
U00131,chelsea48,19,Male,stephaniedougherty@gmail.com,1,0.0,Business,Advanced,0.0,1,0.0,0
U00132,kathysharp,22,Male,sean85@yahoo.com,1,0.0,Machine Learning,Beginner,0.0,1,1.0,2
U00133,mccarthyscott,21,Male,raymondthomas@gmail.com,14,23.46153846153846,Marketing,Beginner,59.166428571428575,9,0.42857142857142855,1
U00134,syoung,26,Female,kroy@gmail.com,14,25.846153846153847,Finance,Advanced,102.72928571428572,8,0.2857142857142857,1
U00135,josephmichael,17,Female,clarknicholas@gmail.com,1,0.0,Data Science,Intermediate,0.0,1,0.0,3
U00136,millerleslie,25,Female,william31@gmail.com,1,0.0,Business,Advanced,0.0,1,0.0,0
U00137,lawrencesanchez,15,Female,donaldtaylor@outlook.com,2,109.0,Data Science,Advanced,230.145,2,0.0,0
U00138,sarafuentes,26,Male,ugonzales@gmail.com,2,202.0,Design,Advanced,0.0,2,0.5,0
U00139,qharrell,16,Female,daniel87@yahoo.com,4,104.0,Artificial Intelligence,Advanced,62.025,4,0.5,0
U00140,william81,24,Female,ewalker@hotmail.com,2,35.0,Digital Marketing,Beginner,26.93,2,0.5,2
U00141,jenkinswilliam,20,Male,nicolerodriguez@gmail.com,1,0.0,Programming,Beginner,0.0,1,1.0,2
U00142,brian08,17,Female,stephenhenry@gmail.com,1,0.0,Programming,Beginner,472.28,1,1.0,2
U00143,sherri37,26,Male,lopezbrian@outlook.com,2,68.0,Cybersecurity,Advanced,88.67,2,0.5,0
U00144,rodgerspaul,24,Female,amy66@hotmail.com,13,29.25,Finance,Intermediate,73.35923076923078,7,0.15384615384615385,1
U00145,shawnbrown,23,Female,amandasingh@yahoo.com,1,0.0,Cybersecurity,Beginner,0.0,1,1.0,2
U00146,ihernandez,30,Female,rgarcia@outlook.com,1,0.0,Digital Marketing,Beginner,0.0,1,1.0,2
U00147,patricklaura,30,Male,barbarapatterson@yahoo.com,12,29.636363636363637,Data Science,Beginner,99.63999999999999,9,0.4166666666666667,1
U00148,andersenmichael,35,Female,rsmith@outlook.com,1,0.0,Data Science,Intermediate,0.0,1,0.0,3
U00149,jacksonanthony,17,Female,yspencer@gmail.com,10,35.55555555555556,Artificial Intelligence,Advanced,90.64099999999999,8,0.3,1
U00150,nsmith,25,Male,zjefferson@gmail.com,2,71.0,Cybersecurity,Advanced,0.0,2,0.0,0
U00151,johnjohnson,16,Female,heathrodney@hotmail.com,1,0.0,Digital Marketing,Beginner,0.0,1,1.0,2
U00152,hhill,19,Female,keith03@outlook.com,12,31.272727272727273,Cybersecurity,Beginner,114.07666666666665,9,0.5,1
U00153,scottgilbert,35,Male,sextondillon@yahoo.com,2,298.0,Programming,Advanced,18.945,2,0.5,0
U00154,jessicabailey,29,Male,colleen99@outlook.com,1,0.0,Artificial Intelligence,Beginner,248.1,1,1.0,2
U00155,browningstephanie,27,Male,cindy51@gmail.com,2,120.0,Finance,Beginner,0.0,2,0.5,2
U00156,phill,17,Male,natalie68@outlook.com,1,0.0,Finance,Advanced,0.0,1,0.0,0
U00157,derek60,32,Female,dhall@hotmail.com,2,225.0,Cybersecurity,Advanced,106.195,2,0.0,0
U00158,nicholas56,35,Female,lisa06@yahoo.com,1,0.0,Programming,Beginner,0.0,1,1.0,2
U00159,rodriguezraymond,16,Male,richardsonwilliam@yahoo.com,2,38.0,Finance,Beginner,26.93,2,0.5,2
U00160,kingspencer,28,Female,gillvalerie@yahoo.com,1,0.0,Project Management,Beginner,327.99,1,1.0,2
U00161,lawrence17,25,Female,tstone@outlook.com,11,33.2,Business,Advanced,55.054545454545455,7,0.2727272727272727,1
U00162,charlesayala,26,Male,kmyers@gmail.com,1,0.0,Finance,Advanced,0.0,1,0.0,0
U00163,clinejacqueline,32,Female,johnsonshelly@hotmail.com,1,0.0,Project Management,Intermediate,0.0,1,0.0,3
U00164,james63,32,Male,jessica46@outlook.com,2,119.0,Machine Learning,Advanced,0.0,1,0.0,0
U00165,wcarroll,30,Male,angela19@hotmail.com,4,41.333333333333336,Artificial Intelligence,Intermediate,104.95500000000001,4,0.25,3
U00166,campbellkelsey,33,Male,hinesjoshua@gmail.com,15,24.428571428571427,Machine Learning,Intermediate,16.592,9,0.3333333333333333,1
U00167,rogersjohn,31,Female,jonathan94@hotmail.com,1,0.0,Cybersecurity,Beginner,0.0,1,1.0,2
U00168,gillespiekimberly,24,Female,michael38@outlook.com,1,0.0,Business,Intermediate,326.02,1,0.0,3
U00169,vasquezjohn,24,Male,youngmaurice@yahoo.com,13,25.333333333333332,Design,Advanced,43.62769230769231,11,0.3076923076923077,1
U00170,millerdavid,34,Female,mark06@hotmail.com,3,87.5,Programming,Beginner,0.0,3,1.0,2
U00171,egardner,24,Male,obrienmolly@outlook.com,2,97.0,Project Management,Beginner,0.0,1,0.5,2
U00172,nglass,35,Female,charleshernandez@hotmail.com,1,0.0,Machine Learning,Intermediate,0.0,1,0.0,3
U00173,fernando38,31,Male,patriciagarcia@gmail.com,14,25.0,Artificial Intelligence,Beginner,78.20142857142856,10,0.42857142857142855,1
U00174,michelle60,29,Male,sgriffith@yahoo.com,1,0.0,Digital Marketing,Advanced,212.39,1,0.0,0
U00175,xlambert,32,Female,leonardlisa@gmail.com,2,279.0,Artificial Intelligence,Beginner,245.45,2,1.0,2
U00176,gary81,34,Male,jameshartman@hotmail.com,1,0.0,Project Management,Beginner,0.0,1,1.0,2
U00177,torreschristine,29,Female,adriana95@yahoo.com,14,21.076923076923077,Finance,Beginner,109.03857142857142,9,0.5,1
U00178,gonzaleslisa,20,Male,robertspencer@outlook.com,14,21.46153846153846,Data Science,Beginner,16.90857142857143,10,0.35714285714285715,1
U00179,mariaavila,34,Male,tpineda@outlook.com,2,83.0,Business,Advanced,243.96,2,0.0,0
U00180,xglenn,26,Female,bruce16@hotmail.com,1,0.0,Machine Learning,Intermediate,0.0,1,0.0,3
U00181,stephanie98,32,Female,angela26@yahoo.com,1,0.0,Data Science,Beginner,299.57,1,1.0,2
U00182,nancyibarra,28,Female,rmadden@gmail.com,1,0.0,Finance,Intermediate,0.0,1,0.0,3
U00183,christopherhall,33,Male,virginia17@outlook.com,1,0.0,Machine Learning,Intermediate,0.0,1,0.0,3
U00184,kroth,28,Male,nrhodes@hotmail.com,1,0.0,Cybersecurity,Advanced,0.0,1,0.0,0
U00185,jwalls,27,Male,carrillomichael@outlook.com,1,0.0,Web Development,Advanced,57.32,1,0.0,0
U00186,alexbrown,28,Female,nortonlisa@outlook.com,2,102.0,Business,Intermediate,163.01,2,0.0,3
U00187,taylor05,18,Male,staceygiles@hotmail.com,1,0.0,Programming,Beginner,472.28,1,1.0,2
U00188,robertsedward,18,Male,wschmidt@gmail.com,1,0.0,Design,Advanced,0.0,1,0.0,0
U00189,latoya45,18,Male,normangabriela@hotmail.com,1,0.0,Finance,Advanced,0.0,1,0.0,0
U00190,hroberts,25,Female,hcabrera@yahoo.com,1,0.0,Business,Advanced,487.92,1,0.0,0
U00191,foleypaul,34,Male,jeremycole@gmail.com,12,28.181818181818183,Project Management,Beginner,188.225,8,0.4166666666666667,1
U00192,nathanieldorsey,17,Male,briannarichardson@yahoo.com,14,24.46153846153846,Web Development,Beginner,48.576428571428565,9,0.5,1
U00193,stevenjames,33,Male,carriedrake@yahoo.com,1,0.0,Marketing,Advanced,0.0,1,0.0,0
U00194,carolynpage,35,Male,jacksonandrew@outlook.com,1,0.0,Data Science,Intermediate,0.0,1,0.0,3
U00195,stewartlisa,15,Male,powens@outlook.com,1,0.0,Project Management,Advanced,346.71,1,0.0,0
U00196,susan34,23,Female,alexandragreen@outlook.com,1,0.0,Cybersecurity,Intermediate,394.26,1,0.0,3
U00197,parksderek,35,Female,michaelwallace@hotmail.com,1,0.0,Data Science,Intermediate,0.0,1,0.0,3
U00198,brian71,30,Female,lewismargaret@hotmail.com,12,26.545454545454547,Finance,Beginner,103.52833333333332,7,0.5,1
U00199,millerstephanie,24,Female,davisjeremy@gmail.com,1,0.0,Programming,Intermediate,0.0,1,0.0,3
U00200,ronald67,32,Male,bobbymurphy@outlook.com,4,110.0,Design,Advanced,67.4275,3,0.0,0
U00201,yalvarado,16,Male,orosales@gmail.com,3,53.5,Artificial Intelligence,Advanced,230.62666666666667,3,0.3333333333333333,0
U00202,awilson,28,Female,harrisrichard@yahoo.com,1,0.0,Programming,Beginner,0.0,1,1.0,2
U00203,samantha00,25,Female,ybyrd@yahoo.com,2,193.0,Business,Beginner,163.01,2,0.5,2
U00204,loribates,28,Female,robertmitchell@gmail.com,1,0.0,Finance,Advanced,0.0,1,0.0,0
U00205,christinecampbell,32,Male,markmahoney@outlook.com,1,0.0,Project Management,Intermediate,342.61,1,0.0,3
U00206,lisa94,19,Female,morriscindy@outlook.com,1,0.0,Artificial Intelligence,Intermediate,89.59,1,0.0,3
U00207,evelyn98,33,Male,carsonjamie@yahoo.com,2,117.0,Digital Marketing,Advanced,88.67,2,0.5,0
U00208,kingrobin,18,Female,jamesholt@yahoo.com,15,21.714285714285715,Data Science,Beginner,33.84133333333333,10,0.4666666666666667,1
U00209,parkssarah,26,Male,padillakathy@hotmail.com,1,0.0,Business,Advanced,0.0,1,0.0,0
U00210,mscott,30,Male,umitchell@hotmail.com,2,37.0,Machine Learning,Advanced,18.945,2,0.0,0
U00211,maryspencer,22,Male,amandabrown@gmail.com,1,0.0,Project Management,Beginner,0.0,1,1.0,2
U00212,mike97,30,Female,loriknight@yahoo.com,2,71.0,Programming,Beginner,0.0,2,1.0,2
U00213,susan03,15,Male,serranotammy@hotmail.com,2,29.0,Data Science,Beginner,149.785,2,0.5,2
U00214,danielle41,24,Female,annaparker@gmail.com,1,0.0,Artificial Intelligence,Intermediate,89.59,1,0.0,3
U00215,sandra29,28,Male,hatfieldmark@hotmail.com,1,0.0,Business,Intermediate,326.02,1,0.0,3
U00216,taylorelizabeth,23,Male,peckamy@outlook.com,16,23.2,Programming,Beginner,87.86687500000001,10,0.5625,1
U00217,garychandler,28,Male,carla25@outlook.com,1,0.0,Web Development,Advanced,37.89,1,0.0,0
U00218,gregory81,15,Female,lisa37@hotmail.com,1,0.0,Marketing,Intermediate,0.0,1,0.0,3
U00219,daniellebishop,23,Female,josephlawrence@outlook.com,1,0.0,Design,Beginner,0.0,1,1.0,2
U00220,laura88,20,Male,dlewis@hotmail.com,15,23.428571428571427,Programming,Beginner,20.02333333333333,11,0.5333333333333333,1
U00221,lgallagher,27,Male,youngtammy@gmail.com,1,0.0,Design,Advanced,0.0,1,0.0,0
U00222,bentonkatrina,28,Male,flowe@outlook.com,1,0.0,Machine Learning,Advanced,0.78,1,0.0,0
U00223,patricia65,35,Female,yolandaglenn@outlook.com,1,0.0,Finance,Intermediate,0.0,1,0.0,3
U00224,denisebailey,15,Female,devin32@gmail.com,1,0.0,Artificial Intelligence,Beginner,490.9,1,1.0,2
U00225,sheila72,18,Male,fpark@yahoo.com,1,0.0,Finance,Intermediate,0.0,1,0.0,3
U00226,marioperez,34,Female,jdougherty@hotmail.com,1,0.0,Project Management,Advanced,346.71,1,0.0,0
U00227,victoria90,23,Male,alyssahoward@gmail.com,2,92.0,Design,Beginner,0.0,2,0.5,2
U00228,joshuarangel,18,Male,jaredpeters@yahoo.com,1,0.0,Data Science,Advanced,117.68,1,0.0,0
U00229,charles00,22,Male,nielsenelizabeth@gmail.com,2,124.0,Data Science,Advanced,0.0,2,0.5,0
U00230,karen41,17,Female,swansonlisa@hotmail.com,2,27.0,Digital Marketing,Beginner,59.52,2,0.5,2
U00231,rodgersdaniel,16,Male,richard17@hotmail.com,2,89.0,Digital Marketing,Advanced,106.585,2,0.0,0
U00232,timothywatkins,26,Female,lisarodriguez@yahoo.com,1,0.0,Cybersecurity,Advanced,0.0,1,0.0,0
U00233,robinsonmichael,32,Male,virginiataylor@outlook.com,1,0.0,Finance,Intermediate,119.04,1,0.0,3
U00234,emily05,32,Male,whuynh@outlook.com,2,207.0,Business,Advanced,163.01,2,0.0,0
U00235,williamscharles,34,Male,joneschristopher@outlook.com,3,67.5,Programming,Beginner,157.42666666666665,2,0.6666666666666666,2
U00236,colin32,25,Female,vmora@yahoo.com,1,0.0,Cybersecurity,Intermediate,394.26,1,0.0,3
U00237,anthony70,20,Male,meghan00@gmail.com,1,0.0,Business,Advanced,0.0,1,0.0,0
U00238,joshuaescobar,24,Female,isaiahwest@outlook.com,15,24.0,Business,Beginner,124.86133333333332,10,0.4666666666666667,1
